tag,C,class_weight,tol,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | class_weight=balanced | tol=0.1,0.1,balanced,0.1,1,0.35782901056676275,0.4867764140495346,0.35782901056676275,0.33679565184601423,0.6809835006084815,0.4543275319158624
C=0.1 | class_weight=balanced | tol=0.1,0.1,balanced,0.1,2,0.3659942363112392,0.5378476493739687,0.3659942363112392,0.3505966518902023,0.6910774334698736,0.47386917911523224
C=0.1 | class_weight=balanced | tol=0.1,0.1,balanced,0.1,3,0.37079731027857826,0.5324595988120762,0.37079731027857826,0.3571154165887164,0.6681116510318823,0.4485539003864947
C=0.1 | class_weight=balanced | tol=0.1,0.1,balanced,0.1,4,0.36983669548511044,0.5071537506070195,0.36983669548511044,0.34817836770689464,0.6808942583355863,0.4601529592645307
C=0.1 | class_weight=balanced | tol=0.1,0.1,balanced,0.1,5,0.3570398846708313,0.49481713818349826,0.3570398846708313,0.3301091265228156,0.6693367574723365,0.4472290644680874
C=0.1 | class_weight=balanced | tol=1,0.1,balanced,1.0,1,0.35110470701248797,0.5074430939209066,0.35110470701248797,0.32847516567959434,0.6836557043909198,0.45687747560074077
C=0.1 | class_weight=balanced | tol=1,0.1,balanced,1.0,2,0.3659942363112392,0.5815266788087264,0.3659942363112392,0.3373326836505842,0.6947969537245371,0.47376613743940305
C=0.1 | class_weight=balanced | tol=1,0.1,balanced,1.0,3,0.3366954851104707,0.48098075986328254,0.3366954851104707,0.32740152194071265,0.6716509310783081,0.44809786606604607
C=0.1 | class_weight=balanced | tol=1,0.1,balanced,1.0,4,0.37079731027857826,0.5089277811039706,0.37079731027857826,0.3551978815287312,0.6891691891073481,0.4578646901258736
C=0.1 | class_weight=balanced | tol=1,0.1,balanced,1.0,5,0.3623258049014897,0.5235883241403402,0.3623258049014897,0.3384367226075667,0.674627373465321,0.44871676774439245
C=0.1 | class_weight=balanced | tol=10,0.1,balanced,10.0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=balanced | tol=10,0.1,balanced,10.0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=balanced | tol=10,0.1,balanced,10.0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=balanced | tol=10,0.1,balanced,10.0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=balanced | tol=10,0.1,balanced,10.0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=None | tol=0.1,0.1,,0.1,1,0.45244956772334294,0.2924609933269563,0.45244956772334294,0.3380512394153443,0.6868552894360508,0.4603727535638446
C=0.1 | class_weight=None | tol=0.1,0.1,,0.1,2,0.45004803073967337,0.2852688959032029,0.45004803073967337,0.33281699240622603,0.6839613782795623,0.4309427700005202
C=0.1 | class_weight=None | tol=0.1,0.1,,0.1,3,0.4452449567723343,0.27990523782551296,0.4452449567723343,0.3286434257131613,0.67585282438257,0.43801344466196906
C=0.1 | class_weight=None | tol=0.1,0.1,,0.1,4,0.4510086455331412,0.2885751409665956,0.4510086455331412,0.33238851210028375,0.6880495066607324,0.445736808569167
C=0.1 | class_weight=None | tol=0.1,0.1,,0.1,5,0.4435367611725132,0.28156534953606427,0.4435367611725132,0.32848949731815646,0.6355318941102303,0.38713247667846556
C=0.1 | class_weight=None | tol=1,0.1,,1.0,1,0.45244956772334294,0.2924609933269563,0.45244956772334294,0.3380512394153443,0.6982913656861646,0.47487883715944884
C=0.1 | class_weight=None | tol=1,0.1,,1.0,2,0.45004803073967337,0.28511183327542394,0.45004803073967337,0.33283985190406373,0.6728058907583904,0.45668512969215075
C=0.1 | class_weight=None | tol=1,0.1,,1.0,3,0.44668587896253603,0.28078994681691677,0.44668587896253603,0.32960017440522177,0.669345412673059,0.4517983362142003
C=0.1 | class_weight=None | tol=1,0.1,,1.0,4,0.4620557156580211,0.3004004613278687,0.4620557156580211,0.33941146794380056,0.5928425172689015,0.3485844635636471
C=0.1 | class_weight=None | tol=1,0.1,,1.0,5,0.4435367611725132,0.2817216512728547,0.4435367611725132,0.32846799223228956,0.6454448962556644,0.4033307945657169
C=0.1 | class_weight=None | tol=10,0.1,,10.0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=None | tol=10,0.1,,10.0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=None | tol=10,0.1,,10.0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=None | tol=10,0.1,,10.0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=None | tol=10,0.1,,10.0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=1 | class_weight=balanced | tol=0.1,1.0,balanced,0.1,1,0.3554274735830932,0.48539351279011156,0.3554274735830932,0.3339085537789223,0.6806190608183409,0.4546260046349084
C=1 | class_weight=balanced | tol=0.1,1.0,balanced,0.1,2,0.3659942363112392,0.5445752419150597,0.3659942363112392,0.3493458381904312,0.6915328892034733,0.47491130013798577
C=1 | class_weight=balanced | tol=0.1,1.0,balanced,0.1,3,0.3655139289145053,0.5258497221176495,0.3655139289145053,0.35176701925008785,0.6700365143958484,0.4503548134111277
C=1 | class_weight=balanced | tol=0.1,1.0,balanced,0.1,4,0.37079731027857826,0.5071846737469453,0.37079731027857826,0.3481279571897168,0.6814469592005546,0.4601528248277552
C=1 | class_weight=balanced | tol=0.1,1.0,balanced,0.1,5,0.3589620374819798,0.49647868297596437,0.3589620374819798,0.3321100232599656,0.6711061346842433,0.44784984899082525
C=1 | class_weight=balanced | tol=1,1.0,balanced,1.0,1,0.3611911623439001,0.4892498244857033,0.3611911623439001,0.34378831213444716,0.6794648847643902,0.45909751359528095
C=1 | class_weight=balanced | tol=1,1.0,balanced,1.0,2,0.3804034582132565,0.5436191855933602,0.3804034582132565,0.36625658429714847,0.7019840695635017,0.48532547877054794
C=1 | class_weight=balanced | tol=1,1.0,balanced,1.0,3,0.3679154658981748,0.523277046801418,0.3679154658981748,0.3501689980457997,0.6695810514795293,0.44911873423638654
C=1 | class_weight=balanced | tol=1,1.0,balanced,1.0,4,0.3770413064361191,0.5090921599483121,0.3770413064361191,0.3526449632960333,0.6875643578908782,0.45969752589858087
C=1 | class_weight=balanced | tol=1,1.0,balanced,1.0,5,0.37241710716001925,0.5064517454113999,0.37241710716001925,0.34693749224847925,0.6714433658555122,0.4499707692613247
